Danny Price,https://youtu.be/1KcoqVt77E0,,,
Lydia Harrell,www.youtube.com/watch?v=j7zg-L5BsY4,,,
Heath Johnson,www.soundcloud.com/heath-johnson-7/set-myself-free,,,
Paula Varela,www.soundcloud.com/itspaulavarela/merci-beaucoup-mistakes,,,
The Salt Vine,www.soundcloud.com/thesaltvine/week-5-it-only-hurts-in-the-night,,,
Anna Robinson,www.soundcloud.com/anna-robinson-813555483/ground-hog-day-demo-week-5,,,
Deborah Kelly,www.soundcloud.com/deborah-kelly-676260696/love-in-a-simple-moment,,,
Abbie Lynn,https://youtu.be/xC_rURLKqEA,,,
Seth Lambert,http://youtu.be/aFQo0hDN-Yg,,,
Sarah Pray,www.soundcloud.com/sarahpray/wedding-song,,,
Allanah Dennehy,https://youtu.be/glmj1s_pcIw,,,
Jordan Okrend,https://youtu.be/659iiM5N3Sg,,,
Billie and the Haint,www.soundcloud.com/billie-and-the-haint/im-bad-news-demo,,,
Carl Fortunato,www.soundcloud.com/carlo-fortunato/love-the-loveless,,,
Old Old Earth,https://goo.gl/o6TU3s,,,
Shawn Hickman,https://youtu.be/vi0IB7z9KDY,,,
Claes Akerblom,www.soundcloud.com/claes-akerblom/good-man-a-eulogy-demo,,,
Anoki Hedberg,http://anokiartwork.tumblr.com/image/138767590373,,,
Thor Bremer,www.soundcloud.com/tfbremer/lets-brawl,,,
Pretty Beggar,www.reverbnation.com/prettybeggar/song/25274192-tell-you-what,,,
Phil Cowan,www.soundcloud.com/philcowan_music/i-cant-believe-youre-asking-me-that,,,
Daniel Pierre Ault,www.soundcloud.com/daniel-pierre-ault/ftl-mantis-explore-string-quartet,,,
Nik Harr,www.youtube.com/watch?v=KUYWy1zvvnU,,,
Lia Glynias,www.youtube.com/watch?v=SuedlcMhe50,,,
Cabin of Love,www.soundcloud.com/cabin-of-love/kind,,,
Thomas Ciganko,www.soundcloud.com/thomas-ciganko/shine-very-rough-demo,,,
Marty Morgan,www.soundcloud.com/martymorgan/theyre-gonna-make-me-pay-for-the-world,,,
Deepa Seshadri,http://tmblr.co/Z9pJJi21KirCs,,,
James Tristan Redding,www.soundcloud.com/jamestristanredding/james-tristan-redding-real-specific-020616,,,
